Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Znrf1	Nin283	SUBCELLULAR LOCATION: Endosome. Lysosome. Membrane; Peripheral membrane protein. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=Associated with synaptic vesicle membranes in neurons.
Abca7		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12917409, ECO:0000269|PubMed:20495215, ECO:0000269|PubMed:26260791}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:16908670}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:16908670}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:27472885}. Cell projection, ruffle membrane {ECO:0000269|PubMed:16908670}. Cell projection, phagocytic cup {ECO:0000269|PubMed:16908670}. Note=Localizes to cell membrane ruffles and phagocytic cups of macrophages stimulated with C1q or apoptotic cells. Localizes to the cytoplasm of resting macrophages, probably in Golgi and endosomes (PubMed:16908670). Localizes to the apical brush border of cells in the proximal tubules of kidney (Probable). {ECO:0000269|PubMed:16908670, ECO:0000305}.
Mlph	Ln Slac2a	SUBCELLULAR LOCATION: Melanosome.
Rab14		SUBCELLULAR LOCATION: Recycling endosome {ECO:0000250|UniProtKB:P61106}. Early endosome membrane {ECO:0000250|UniProtKB:P61106}; Lipid-anchor {ECO:0000250|UniProtKB:P61106}; Cytoplasmic side {ECO:0000250|UniProtKB:P61106}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P61106}; Lipid-anchor {ECO:0000250|UniProtKB:P61106}; Cytoplasmic side {ECO:0000250|UniProtKB:P61106}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:P61106}; Lipid-anchor {ECO:0000250|UniProtKB:P61106}; Cytoplasmic side {ECO:0000250|UniProtKB:P61106}. Cytoplasmic vesicle, phagosome {ECO:0000250|UniProtKB:P61106}. Note=Recruited to recycling endosomes by DENND6A. {ECO:0000250|UniProtKB:P61106}.
Kiss1r	Gpr54	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q969F8}; Multi-pass membrane protein {ECO:0000255}.
Ttll1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:17499049, ECO:0000269|PubMed:20498047}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:17499049}. Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000305|PubMed:20498047}. Cell projection, cilium, flagellum {ECO:0000305|PubMed:20442420}.
Chn1	Arhgap2	
Fitm1	Fit1	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000255|HAMAP-Rule:MF_03229, ECO:0000269|PubMed:18160536, ECO:0000269|PubMed:22106267}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03229}.
Fgfrl1	Fgfr5	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Npnt	Neph1 Poem	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:11470831, ECO:0000269|PubMed:11546798}. Note=Trapped on the cell surface or in the extracellular matrix.
Acly		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P53396}.
Cd248	Tem1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Acsm1	Bucs1 Lae Macs1	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:11470804}. Mitochondrion {ECO:0000269|PubMed:12709059}.
Slc44a4	Ctl4 Ng22 TPPT1	SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q53GD3}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q53GD3}. Apical cell membrane {ECO:0000250|UniProtKB:Q53GD3}.
Capn8	Ncl2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus {ECO:0000269|PubMed:16476741}.
Camk1g		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12637513}. Golgi apparatus membrane {ECO:0000269|PubMed:12637513}; Peripheral membrane protein {ECO:0000269|PubMed:12637513}. Cell membrane {ECO:0000269|PubMed:12637513}; Peripheral membrane protein {ECO:0000269|PubMed:12637513}.
Eif4a3	Ddx48	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q3B8Q2}. Nucleus speckle {ECO:0000250|UniProtKB:P38919}. Cytoplasm {ECO:0000250|UniProtKB:Q3B8Q2}. Note=Nucleocytoplasmic shuttling protein. Travels to the cytoplasm as part of the exon junction complex (EJC) bound to mRNA. Detected in dendritic layer as well as the nuclear and cytoplasmic (somatic) compartments of neurons. Colocalizes with STAU1 and FMR1 in dendrites. {ECO:0000250|UniProtKB:Q3B8Q2}.
Plvap	Pv1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9WV78}; Single-pass type II membrane protein {ECO:0000255}. Membrane, caveola {ECO:0000250|UniProtKB:Q9WV78}; Single-pass type II membrane protein {ECO:0000255}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q9WV78}. Note=Membrane-associated protein of caveolae. Found in fenestral and stomatal diaphragms in fenestrated endothelia and transendothelial channels. Also colocalized with CAV1 in perinuclear region. {ECO:0000250|UniProtKB:Q9WV78}.
Ghitm	Mics1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9H3K2}; Multi-pass membrane protein {ECO:0000255}.
Ndufs1		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:38575788}; Peripheral membrane protein {ECO:0000269|PubMed:38575788}; Matrix side {ECO:0000269|PubMed:38575788}.
Slc27a4	Acsvl4 Fatp4	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23407971}; Multi-pass membrane protein {ECO:0000255}.
P2rx5		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q93086}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P56373}.
Klk7	Prss6 Scce	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Hnmt	Hmt	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P50135}.
Col26a1	Col26a Emid2 Emu2	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.
Adipor1	Parq1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17268472}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q96A54}. Note=Localized to the cell membrane and intracellular organelles. {ECO:0000250|UniProtKB:Q96A54}.
Snx9		SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000250}. Golgi apparatus, trans-Golgi network {ECO:0000250}. Cell projection, ruffle {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Localized at sites of endocytosis at the cell membrane. Detected on newly formed macropinosomes. Transiently recruited to clathrin-coated pits at a late stage of clathrin-coated vesicle formation (By similarity). Colocalizes with the actin cytoskeleton at the cell membrane (By similarity). {ECO:0000250}.
Aim2	Gm1313 Ifi210	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19158679, ECO:0000269|PubMed:22555457}. Inflammasome {ECO:0000269|PubMed:19158679, ECO:0000269|PubMed:27846608}. Nucleus {ECO:0000269|PubMed:27846608}. Note=Activated inflammasomes can aggregate in the cytosol as speck-like particles (PubMed:19158679). Activated inflammasomes can also aggregate in the nucleus in response to DNA damage: AIM2 is recruited to double-strand DNA breaks and mediates activation of the AIM2 inflammasome (PubMed:27846608). {ECO:0000269|PubMed:19158679, ECO:0000269|PubMed:27846608}.
Cavin3	Prkcdbp Srbc	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23079727}. Cytoplasm, cytosol {ECO:0000269|PubMed:19546242}. Membrane, caveola {ECO:0000269|PubMed:19546242, ECO:0000269|PubMed:25588833}. Note=Localizes in the caveolae in a caveolin-dependent manner. {ECO:0000269|PubMed:19546242, ECO:0000269|PubMed:25588833}.
Stk38	Ndr1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q15208}. Cytoplasm {ECO:0000250|UniProtKB:Q15208}. Chromosome {ECO:0000250|UniProtKB:Q15208}. Note=Localizes to DNA double-strand breaks in response to DNA damage. {ECO:0000250|UniProtKB:Q15208}.
Pqbp1	Npw38	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23512658}. Nucleus speckle {ECO:0000269|PubMed:23512658}. Cytoplasmic granule {ECO:0000250|UniProtKB:O60828}. Note=Colocalizes with SRSF2 in nuclear speckles (PubMed:23512658). Colocalized with POU3F2. Colocalized with ATXN1 in nuclear inclusion bodies. Localizes to cytoplasmic stress granules (By similarity). {ECO:0000250|UniProtKB:O60828, ECO:0000269|PubMed:23512658}.
Itm2c		SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:14592447}; Single-pass type II membrane protein {ECO:0000269|PubMed:14592447}. Cell membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Terf2ip	Rap1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20622870}. Cytoplasm {ECO:0000269|PubMed:20622870}. Chromosome {ECO:0000269|PubMed:20622869}. Chromosome, telomere {ECO:0000269|PubMed:20622869}. Note=Associates with chromosomes, both at telomeres and in extratelomeric sites (PubMed:20622869). Also exists as a cytoplasmic form, where it associates with the IKK complex (PubMed:20622870). {ECO:0000269|PubMed:20622869, ECO:0000269|PubMed:20622870}.
Zbtb1		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y2K1}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q9Y2K1}. Note=Localized in dot-like structures in the nucleus. Colocalized with SMRT in nuclear bodies. The sumoylated form is preferentially located in the nucleoplasm outside the nuclear bodies (By similarity). {ECO:0000250|UniProtKB:Q9Y2K1}.
Spns2		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:A2SWM2}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000250|UniProtKB:A2SWM2}; Multi-pass membrane protein {ECO:0000255}.
Rbmxl1	Rbmxrt	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Lrp5	Lr3 Lrp7	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:12581525}; Single-pass type I membrane protein {ECO:0000269|PubMed:12581525}. Endoplasmic reticulum {ECO:0000269|PubMed:12581525}. Note=Chaperoned to the plasma membrane by MESD. {ECO:0000250}.
Znf24	Hmcns Zfp191 Zfp24	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187, ECO:0000269|PubMed:20080941}.
Ddx41		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9UJV9}. Cytoplasm {ECO:0000250|UniProtKB:Q9UJV9}. Note=Predominantly present in the nucleus and traffics to the cytoplasm, specifically in the perinuclear region, after DNA stimulation. {ECO:0000250|UniProtKB:Q9UJV9}.
Ddx1		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q92499}. Cytoplasm, cytosol {ECO:0000269|PubMed:21703541}. Cytoplasm {ECO:0000250|UniProtKB:Q92499}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q92499}. Mitochondrion {ECO:0000269|PubMed:21703541}. Note=Localized with MBNL1, TIAL1 and YBX1 in stress granules upon stress. Localized with CSTF2 in cleavage bodies. Forms large aggregates called DDX1 bodies. Relocalized into multiple foci (IR-induced foci or IRIF) after IR treatment, a process that depends on the presence of chromosomal DNA and/or RNA-DNA duplexes. Relocalized at sites of DNA double-strand breaks (DSBs) in an ATM-dependent manner after IR treatment. Colocalized with RELA in the nucleus upon TNF induction. Enters into the nucleus in case of active transcription while it accumulates in cytosol when transcription level is low (By similarity). Colocalizes in the cytosol with DDX21, DHX36 and TICAM1 (PubMed:21703541). Colocalizes in the mitochondria with TICAM1 and poly(I:C) RNA ligand (PubMed:21703541). The multi-helicase-TICAM1 complex may translocate to the mitochondria upon poly(I:C) stimulation (PubMed:21703541). {ECO:0000250|UniProtKB:Q92499, ECO:0000269|PubMed:21703541}.
Map1lc3a		SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:14530254}; Lipid-anchor {ECO:0000250|UniProtKB:Q9H492}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:11266458, ECO:0000269|PubMed:12207896}; Lipid-anchor {ECO:0000250|UniProtKB:Q9H492}. Cytoplasmic vesicle, autophagosome {ECO:0000250|UniProtKB:Q9H492}. Cytoplasm, cytoskeleton {ECO:0000305|PubMed:14530254}. Note=LC3-II binds to the autophagic membranes. {ECO:0000250|UniProtKB:Q9H492}.
Brk1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Mgst1		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P08011}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:P08011}.
Farp2	Kiaa0793	
Nsmce2	Mms21	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96MF7}. Chromosome, telomere {ECO:0000250|UniProtKB:Q96MF7}. Nucleus, PML body {ECO:0000250|UniProtKB:Q96MF7}. Note=Localizes to PML nuclear bodies in ALT cell lines. {ECO:0000250|UniProtKB:Q96MF7}.
Cbr4		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q8N4T8}.
Fam3c	D6Wsu176e Ilei	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20059962}. Cytoplasmic vesicle {ECO:0000250}.
Dcaf11	D14Ucla1 Wdr23	
Pus7	Kiaa1897	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96PZ0}.
Golga4		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12162805}. Golgi apparatus membrane {ECO:0000269|PubMed:12162805}; Peripheral membrane protein {ECO:0000269|PubMed:12162805}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q13439}.
Zkscan3	Skz1 Zfp306 Zfp307 Zfp47	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}. Cytoplasm {ECO:0000250}. Note=Mainly localizes in the nucleus. Under starvation conditions translocates to the cytoplasm, allowing expression of target genes involved in autophagy and lysosome biogenesis/function (By similarity). {ECO:0000250}.
Kdm4b	Jhdm3b Jmjd2b	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00537}.
Smap1		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:9644265}; Peripheral membrane protein {ECO:0000305|PubMed:9644265}; Cytoplasmic side {ECO:0000305|PubMed:9644265}.
Slc39a8	Zip8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15722412, ECO:0000269|PubMed:18037372, ECO:0000269|PubMed:27166256}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000269|PubMed:16638970, ECO:0000269|PubMed:17108009, ECO:0000269|PubMed:28481222}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q9C0K1}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000250|UniProtKB:Q9C0K1}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to the lysosome of activated T-cells. A large fraction of the protein is found intracellularly in microvascular capillary endothelial cells that constitute the blood-brain barrier. Localized and functional at both apical and basolateral membranes of microvascular capillary endothelial cells that constitute the blood-brain barrier. {ECO:0000250|UniProtKB:Q9C0K1}.
Usp3		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y6I4}. Cytoplasm {ECO:0000250|UniProtKB:Q9Y6I4}. Note=Localizes preferentially with monoubiquitinated H2A to chromatin. Upon NF-kappa-B signaling activation, exits the nucleus. {ECO:0000250|UniProtKB:Q9Y6I4}.
Klc3		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:28003339, ECO:0000305|PubMed:11319135}. Mitochondrion {ECO:0000269|PubMed:22561200}. Note=In elongating spermatid tail midpiece, localized in outer dense fibers (ODFs) and associates with mitochondria (By similarity). Also localizes to the manchette in elongating spermatids (PubMed:28003339). {ECO:0000250|UniProtKB:Q68G30, ECO:0000269|PubMed:28003339}.
Gldc		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P15505}.
Csde1	D3Jfr1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75534}. Cytoplasm, Stress granule {ECO:0000250|UniProtKB:O75534}. Cytoplasm, P-body {ECO:0000250|UniProtKB:O75534}.
Vps11		SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q9H270}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9H270}; Cytoplasmic side {ECO:0000305}. Lysosome membrane {ECO:0000250|UniProtKB:Q9H270}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9H270}; Cytoplasmic side {ECO:0000305}. Cytoplasmic vesicle {ECO:0000305}. Early endosome {ECO:0000305}. Cytoplasmic vesicle, autophagosome {ECO:0000305}. Cytoplasmic vesicle, clathrin-coated vesicle {ECO:0000305}.
Man2c1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16904268}.
Txndc5	Tlp46	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138, ECO:0000269|PubMed:12930873}.
Hkdc1		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q2TB90}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q2TB90}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q2TB90}. Photoreceptor inner segment {ECO:0000269|PubMed:30085091}. Note=The mitochondrial-binding peptide (MBP) region promotes association with the mitochondrion. {ECO:0000250|UniProtKB:Q2TB90}.
Slc15a4	Pht1	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000269|PubMed:21277849, ECO:0000269|PubMed:24695226, ECO:0000269|PubMed:29155995}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8N697}. Endosome membrane {ECO:0000269|PubMed:24695226, ECO:0000269|PubMed:29784761}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8N697}. Early endosome membrane {ECO:0000269|PubMed:19570976}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8N697}.
Tipin		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12875843}. Nucleus {ECO:0000269|PubMed:12875843}.
Sharpin	Cpdm Sipl1	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9H0F6}. Synapse {ECO:0000250|UniProtKB:Q9EQL9}. Note=Enriched at synaptic sites in mature neurons where it colocalizes with SHANK1. {ECO:0000250|UniProtKB:Q9EQL9}.
Abcg4	White2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9H172}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:17916878}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:17916878}; Multi-pass membrane protein {ECO:0000255}.
Plpp7	Net39 Ppapdc3	SUBCELLULAR LOCATION: Nucleus envelope. Endoplasmic reticulum membrane. Membrane; Multi-pass membrane protein. Note=Both the N- and C-terminal are exposed to the cytoplasm/nucleoplasm.
Setd3	D12Ertd771e	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q86TU7}. Nucleus {ECO:0000269|PubMed:21832073}. Note=Localizes mainly in the cytoplasm. {ECO:0000250|UniProtKB:Q86TU7}.
Pot1	Pot1a	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome, telomere {ECO:0000250}. Note=Colocalizes with telomeric DNA. {ECO:0000250}.
Acsl6	Facl6	SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9UKU0}; Single-pass type III membrane protein {ECO:0000250}.
Daglb		SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:31991095}; Multi-pass membrane protein {ECO:0000255}.
Gpr108	Lustr2	SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:30332431}; Multi-pass membrane protein. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:31784416}; Multi-pass membrane protein {ECO:0000305}. Golgi apparatus membrane; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with TLR3, -7, -4, and -9. {ECO:0000269|PubMed:30332431}.
Trpv6		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12574114, ECO:0000269|PubMed:12601087, ECO:0000269|PubMed:12660155, ECO:0000269|PubMed:12765696, ECO:0000269|PubMed:14736889}; Multi-pass membrane protein {ECO:0000269|PubMed:12660155}.
Ndufs2		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:38575788}; Peripheral membrane protein {ECO:0000269|PubMed:38575788}; Matrix side {ECO:0000269|PubMed:38575788}.
Kif18a		SUBCELLULAR LOCATION: Cell projection, ruffle {ECO:0000250}. Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}.
